10812,'param','BANK_JOINT_TABLE','SSPRJIP','NewDescription'
10812,'param','CUST_GROUP_TABLE','SSGHCGP','NewDescription'
10812,'param','CUST_CLASSIFICATION_TABLE','SSGHCLP','NewDescription'
10812,'param','SS_ACCOUNT_TABLE','SSACCPP','NewDescription'
10812,'param','DD_ACCOUNT_TABLE','DDACMSP','NewDescription'
10812,'param','CP_ACCOUNT_TABLE','CPACMCP','NewDescription'
10812,'param','LS_ACCOUNT_TABLE','LSACMSP','NewDescription'
10812,'param','PL_ACCOUNT_TABLE','PLACMSP','NewDescription'
10812,'param','TC_ACCOUNT_TABLE','TCACMSP','NewDescription'
10812,'param','TD_ACCOUNT_TABLE','TDACMSP','NewDescription'
10812,'param','EXT_ACCT_FIELDS_TABLE','SSEANFP','NewDescription'
10812,'param','CORPORATE_FATCA_LOB_TABLE','SSINCIP','NewDescription'
10812,'param','NON_CORPORATE_FATCA_LOB_TABLE','SSICADP','NewDescription'
10812,'param','EU_ACCT_FIELDS_TABLE','EUSSCMP','NewDescription'
10812,'param','IBAN_ACCT_FIELDS_TABLE','DDIBANP','NewDescription'
10813,'param','BANK_SOURCE_COUNTRY_DB','HUB_PROD_IN','NewDescription'
10813,'param','BANK_INTERIM_COUNTRY_DB','BANK_IN','NewDescription'
10813,'param','BANK_COMMON_DB','BANK_COMMON','NewDescription'
10813,'param','BANK_COUNTRY_PARTITION','IN','NewDescription'
10813,'param','BANK_INDVL_TABLE','SSCUSTP','NewDescription'
10813,'param','BANK_JOINT_TABLE','SSPRJIP','NewDescription'
10813,'param','CUST_GROUP_TABLE','SSGHCGP','NewDescription'
10813,'param','CUST_CLASSIFICATION_TABLE','SSGHCLP','NewDescription'
10813,'param','SS_ACCOUNT_TABLE','SSACCPP','NewDescription'
10813,'param','DD_ACCOUNT_TABLE','DDACMSP','NewDescription'
10813,'param','CP_ACCOUNT_TABLE','CPACMCP','NewDescription'
10813,'param','LS_ACCOUNT_TABLE','LSACMSP','NewDescription'
10813,'param','PL_ACCOUNT_TABLE','PLACMSP','NewDescription'
10813,'param','TC_ACCOUNT_TABLE','TCACMSP','NewDescription'
10813,'param','TD_ACCOUNT_TABLE','TDACMSP','NewDescription'
10813,'param','EXT_ACCT_FIELDS_TABLE','SSEANFP','NewDescription'
10813,'param','CORPORATE_FATCA_LOB_TABLE','SSINCIP','NewDescription'
10813,'param','NON_CORPORATE_FATCA_LOB_TABLE','SSICADP','NewDescription'
10813,'param','EU_ACCT_FIELDS_TABLE','EUSSCMP','NewDescription'
10813,'param','IBAN_ACCT_FIELDS_TABLE','DDIBANP','NewDescription'
